Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2010,2010,kg/cap,114.12,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2010,2010,g/cap/d,32.48,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2010,2010,g/cap/d,5.26,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2011,2011,kg/cap,96.99,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2011,2011,g/cap/d,27.73,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2011,2011,g/cap/d,4.49,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2012,2012,kg/cap,105.95,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2012,2012,g/cap/d,30.24,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2012,2012,g/cap/d,4.88,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2013,2013,kg/cap,105.32,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2013,2013,g/cap/d,30.05,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2013,2013,g/cap/d,4.84,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2014,2014,kg/cap,98.5,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2014,2014,g/cap/d,28.09,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2014,2014,g/cap/d,4.52,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2015,2015,kg/cap,98.68,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2015,2015,g/cap/d,28.18,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2015,2015,g/cap/d,4.55,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2016,2016,kg/cap,99.75,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2016,2016,g/cap/d,28.45,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2016,2016,g/cap/d,4.59,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2017,2017,kg/cap,101.75,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2017,2017,g/cap/d,29,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2017,2017,g/cap/d,4.68,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2018,2018,kg/cap,100.5,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2018,2018,g/cap/d,28.65,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,684,Fat supply quantity (g/capita/day),S2511,Wheat and products,2018,2018,g/cap/d,4.62,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,645,Food supply quantity (kg/capita/yr),S2511,Wheat and products,2019,2019,kg/cap,106.97,E,Estimated value,
FBS,Food Balances (2010-),586,Pakistan,674,Protein supply quantity (g/capita/day),S2511,Wheat and products,2019,2019,g/cap/d,30.49,E,Estimated value,
