Item,Element,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Apples and products,Food supply quantity (kg/capita/yr),kg/cap,2.56,2.73,2.49,2.71,2.75,2.76,3.13,2.86,2.27,2.65,2.76,2.85,2.95,3.07
"Aquatic Animals, Others",Food supply quantity (kg/capita/yr),kg/cap,0.01,0.01,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Aquatic Plants,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bananas,Food supply quantity (kg/capita/yr),kg/cap,0.29,0.34,0.22,0.09,0.32,0.25,0.33,0.36,0.26,0.03,0.15,0.31,0.28,0.52
Barley and products,Food supply quantity (kg/capita/yr),kg/cap,0.31,0.28,0.27,0.26,0.25,0.28,0.38,0.24,0.25,0.22,0.18,0.15,0.14,0.17
Beans,Food supply quantity (kg/capita/yr),kg/cap,0.66,0.89,0.76,0.9,0.87,0.89,1.1,1.05,0.94,0.97,1.54,1.54,1.06,1.07
Beer,Food supply quantity (kg/capita/yr),kg/cap,0.03,0.03,0.04,0.03,0.02,0.01,0.01,0.01,0.01,0.04,0.03,0.03,0.03,0.03
"Beverages, Alcoholic",Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Beverages, Fermented",Food supply quantity (kg/capita/yr),kg/cap,0.15,0.15,0.16,0.15,0.16,0.16,0.16,0.15,0.15,0.16,0.15,0.02,0.02,0.02
Bovine Meat,Food supply quantity (kg/capita/yr),kg/cap,7.35,7.43,7.48,7.61,7.69,7.78,8.0,9.1,9.25,9.33,9.47,9.63,9.14,9.22
"Butter, Ghee",Food supply quantity (kg/capita/yr),kg/cap,4.23,4.26,4.31,4.37,4.78,4.86,4.7,4.77,4.83,5.14,4.94,4.99,5.05,5.12
Cassava and products,Food supply quantity (kg/capita/yr),kg/cap,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02
Cephalopods,Food supply quantity (kg/capita/yr),kg/cap,0.03,0.04,0.02,0.03,0.03,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
"Cereals, other",Food supply quantity (kg/capita/yr),kg/cap,0.13,0.06,0.09,0.2,0.09,0.09,0.07,0.07,0.07,0.04,0.07,0.0,0.0,0.09
"Citrus, Other",Food supply quantity (kg/capita/yr),kg/cap,0.38,0.35,0.37,0.33,0.36,0.35,0.37,0.37,0.34,0.36,0.32,0.4,0.51,0.47
Cloves,Food supply quantity (kg/capita/yr),kg/cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Cocoa Beans and products,Food supply quantity (kg/capita/yr),kg/cap,0.03,0.04,0.03,0.04,0.09,0.07,0.06,0.06,0.09,0.1,0.09,0.1,0.09,0.07
Coconuts - Incl Copra,Food supply quantity (kg/capita/yr),kg/cap,0.19,0.14,0.14,0.12,0.17,0.16,0.14,0.12,0.13,0.11,0.11,0.12,0.1,0.09
Coffee and products,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.01
Cottonseed Oil,Food supply quantity (kg/capita/yr),kg/cap,1.0,1.03,1.2,1.18,1.21,1.2,0.86,0.85,0.88,0.69,0.51,0.4,0.16,0.28
Cream,Food supply quantity (kg/capita/yr),kg/cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Crustaceans,Food supply quantity (kg/capita/yr),kg/cap,0.02,0.01,0.04,0.06,0.04,0.05,0.01,0.01,0.03,0.03,0.03,0.03,0.03,0.03
Dates,Food supply quantity (kg/capita/yr),kg/cap,1.95,2.16,1.69,1.63,1.9,1.52,1.22,1.16,1.35,1.99,1.93,3.16,0.73,1.71
Demersal Fish,Food supply quantity (kg/capita/yr),kg/cap,0.05,0.08,0.08,0.11,0.07,0.06,0.08,0.04,0.05,0.03,0.03,0.03,0.03,0.03
Eggs,Food supply quantity (kg/capita/yr),kg/cap,2.39,2.52,2.52,2.59,2.7,2.76,2.9,3.05,3.17,3.26,3.38,3.54,3.71,3.86
"Fats, Animals, Raw",Food supply quantity (kg/capita/yr),kg/cap,1.22,0.96,0.92,0.81,0.89,0.88,0.87,1.02,1.03,0.97,0.98,0.99,0.96,0.95
"Fish, Body Oil",Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fish, Liver Oil",Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freshwater Fish,Food supply quantity (kg/capita/yr),kg/cap,1.26,1.22,1.23,1.18,1.14,1.17,1.2,1.19,1.13,0.94,0.93,0.91,0.89,0.88
"Fruits, other",Food supply quantity (kg/capita/yr),kg/cap,24.63,23.15,22.35,21.04,21.91,22.54,21.49,21.48,21.57,21.61,21.14,11.47,12.14,10.93
Grapefruit and products,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01
Grapes and products (excl wine),Food supply quantity (kg/capita/yr),kg/cap,0.63,0.54,0.51,0.45,0.52,0.86,0.61,0.79,1.09,0.79,0.77,1.31,0.85,1.0
Groundnut Oil,Food supply quantity (kg/capita/yr),kg/cap,0.1,0.1,0.08,0.09,0.1,0.12,0.1,0.12,0.08,0.07,0.1,0.11,0.09,0.1
Groundnuts,Food supply quantity (kg/capita/yr),kg/cap,0.1,0.1,0.09,0.1,0.1,0.11,0.1,0.11,0.1,0.1,0.11,0.11,0.1,0.1
Honey,Food supply quantity (kg/capita/yr),kg/cap,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01,0.0,0.0,0.0,0.0
Infant food,Food supply quantity (kg/capita/yr),kg/cap,0.02,0.03,0.03,0.03,0.03,0.04,0.06,0.06,0.09,0.06,0.04,0.04,0.04,0.02
"Lemons, Limes and products",Food supply quantity (kg/capita/yr),kg/cap,0.4,0.36,0.38,0.36,0.37,0.4,0.34,0.32,0.26,0.31,0.28,0.38,0.38,0.36
Maize Germ Oil,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0
Maize and products,Food supply quantity (kg/capita/yr),kg/cap,5.6,7.07,6.44,6.44,6.28,6.26,4.9,4.85,5.17,4.83,5.7,7.27,5.61,6.43
"Marine Fish, Other",Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Meat, Other",Food supply quantity (kg/capita/yr),kg/cap,0.12,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.13,0.12,0.12,0.12,0.12
Milk - Excluding Butter,Food supply quantity (kg/capita/yr),kg/cap,105.7,103.8,105.44,99.13,103.64,103.36,113.06,115.32,117.15,127.16,120.14,125.81,127.8,129.71
Millet and products,Food supply quantity (kg/capita/yr),kg/cap,0.75,0.8,0.67,0.63,0.64,0.69,0.64,0.69,0.71,0.74,0.48,0.42,0.47,0.52
Miscellaneous,Food supply quantity (kg/capita/yr),kg/cap,0.01,0.02,0.01,0.01,0.02,0.0,0.02,0.04,0.05,0.04,0.01,0.0,0.0,0.0
"Molluscs, Other",Food supply quantity (kg/capita/yr),kg/cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Mutton & Goat Meat,Food supply quantity (kg/capita/yr),kg/cap,2.09,2.09,2.11,2.13,2.15,2.17,2.2,3.12,3.14,3.14,3.14,3.17,3.18,3.18
Nuts and products,Food supply quantity (kg/capita/yr),kg/cap,0.64,0.61,0.6,0.6,0.8,0.75,0.89,0.75,0.2,0.19,0.26,0.25,0.21,0.24
Oats,Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.01
"Offals, Edible",Food supply quantity (kg/capita/yr),kg/cap,1.26,1.21,1.23,1.23,1.27,1.28,1.3,1.64,1.68,1.7,1.71,1.73,1.71,1.71
"Oilcrops Oil, Other",Food supply quantity (kg/capita/yr),kg/cap,0.25,0.24,0.23,0.23,0.2,0.22,0.21,0.2,0.19,0.19,0.18,0.18,0.16,0.16
Olive Oil,Food supply quantity (kg/capita/yr),kg/cap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.01
Olives (including preserved),Food supply quantity (kg/capita/yr),kg/cap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01
