Year,GNI_per_capita_USD2015,GNI_per_capita_PPP2021,Gini_index,Income_share_lowest20pct,Poverty_headcount_national_pct,Poverty_headcount_societal_pct,Is_Real_Survey
2001,1109.65,3602.7,28.7,9.8,64.3,46.53,1
2002,1109.85,3603.33,29.43,9.6,60.1,46.53,1
2003,1138.65,3696.86,30.17,9.4,55.9,46.0,0
2004,1193.83,3875.99,30.9,9.2,51.7,40.9,1
2005,1249.21,4055.8,31.3,9.3,50.4,40.8,1
2006,1268.9,4119.73,30.5,9.5,47.25,38.9,0
2007,1282.61,4164.25,29.7,9.7,44.1,37.0,1
2008,1244.37,4040.08,29.4,9.77,41.67,35.73,0
2009,1243.97,4038.78,29.1,9.83,39.23,34.47,0
2010,1245.25,4042.95,28.8,9.9,36.8,33.2,1
2011,1257.76,4083.55,29.7,9.7,36.3,33.1,1
2012,1253.75,4070.53,29.6,9.6,32.9,32.25,0
2013,1284.56,4170.58,29.5,9.5,29.5,31.4,1
2014,1319.42,4283.74,30.4,9.4,26.9,30.65,0
2015,1359.31,4413.24,31.3,9.3,24.3,29.9,1
2016,1447.52,4699.65,30.73,9.4,23.5,29.6,0
2017,1501.94,4876.34,30.17,9.5,22.7,29.3,0
2018,1566.28,5085.23,29.6,9.6,21.9,29.0,1
2019,1580.67,5131.95,30.25,9.37,21.9,29.63,0
2020,1544.83,5015.59,30.9,9.13,21.9,30.27,0
2021,1632.28,5299.51,31.55,8.9,21.9,30.9,0
2022,1653.08,5367.04,32.2,8.67,21.9,31.53,0
2023,1679.93,5454.21,32.85,8.6,21.9,32.17,0
2024,1719.89,5583.94,33.5,8.6,21.9,32.8,0
2025,1719.89,5583.94,33.5,8.6,21.9,32.8,0
