Year,GNI_per_capita_USD2015,GNI_per_capita_PPP2021,Gini_index,Income_share_lowest20pct,Poverty_headcount_national_pct,Poverty_headcount_societal_pct,Is_Real_Survey
2001,1109.65,3602.7,28.7,9.8,64.3,46.53,1
2002,1109.85,3603.33,29.43,9.6,60.1,46.53,1
2004,1193.83,3875.99,30.9,9.2,51.7,40.9,1
2005,1249.21,4055.8,31.3,9.3,50.4,40.8,1
2007,1282.61,4164.25,29.7,9.7,44.1,37.0,1
2010,1245.25,4042.95,28.8,9.9,36.8,33.2,1
2011,1257.76,4083.55,29.7,9.7,36.3,33.1,1
2013,1284.56,4170.58,29.5,9.5,29.5,31.4,1
2015,1359.31,4413.24,31.3,9.3,24.3,29.9,1
2018,1566.28,5085.23,29.6,9.6,21.9,29.0,1
